,By Energy Sources,UNIT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Coal,"1,000 toe",12051.9,10540.599999999999,8378.3,6610.099999999999,5206.599999999999,4003.9999999999995,3465.7,3158.3999999999996,3052.7,2937.8999999999996,2905.0,2671.8999999999996,2322.6,2308.6,2233.7,1982.3999999999999,1976.8,2020.1999999999998,1941.1,1763.3,1458.8,1458.8,1465.8,1270.5,1223.6,1234.8,1208.1999999999998,889.0,841.4,758.8,713.3,628.5999999999999,574.0,452.12999999999994,380.79999999999995
1,Anthracite,"1,000 toe",12051.9,10540.599999999999,8378.3,6610.099999999999,5206.599999999999,4003.9999999999995,3465.7,3158.3999999999996,3052.7,2937.8999999999996,2905.0,2671.8999999999996,2322.6,2308.6,2233.7,1982.3999999999999,1976.8,2020.1999999999998,1941.1,1763.3,1458.8,1458.8,1465.8,1270.5,1223.6,1234.8,1208.1999999999998,889.0,841.4,758.8,713.3,628.5999999999999,574.0,452.12999999999994,380.79999999999995
2,Domestic-c,"1,000 toe",12051.9,10540.599999999999,8378.3,6610.099999999999,5206.599999999999,4003.9999999999995,3465.7,3158.3999999999996,3052.7,2937.8999999999996,2905.0,2671.8999999999996,2322.6,2308.6,2233.7,1982.3999999999999,1976.8,2020.1999999999998,1941.1,1763.3,1458.8,1458.8,1465.8,1270.5,1223.6,1234.8,1208.1999999999998,889.0,841.4,758.8,713.3,628.5999999999999,574.0,452.12999999999994,380.79999999999995
3,Nuclear,"1,000 toe",4548.2476,4842.7288,4861.597199999999,4999.8852,5043.9774,5764.4596,6357.489799999999,6629.3616,7713.253999999999,8863.486799999999,9370.8782,9643.438,10242.8494,11151.7748,11241.4728,12622.993999999999,12792.405399999998,12292.5992,12982.379399999998,12708.288799999998,12779.2302,13306.186599999999,12928.147799999999,11935.423999999999,13450.958999999999,14169.566399999998,13931.578599999999,11269.4744,11481.455799999998,12548.2342,13775.7982,13589.3072,15140.643999999998,15522.4926,16232.852599999998
4,Hydro,"1,000 toe",402.81539999999995,299.796,266.3764,363.565,201.76459999999997,237.35139999999998,208.4984,242.004,368.0283999999999,357.6998,344.82559999999995,200.3714,278.0208,421.5978,372.32839999999993,315.964,298.26519999999994,312.3606,264.063,246.2094,318.6128,395.4968,341.48879999999997,369.3356,236.8354,184.89999999999998,245.84819999999996,147.963,290.1984,240.03459999999998,333.6284,262.9192,304.8614,319.748,370.20419999999996
5,Biofuels and waste,"1,000 toe",6.3,8.8,5.4,6.8,7.0,314.5,353.1,470.1,688.1,748.0,1087.6,1365.6,1515.7,1754.3,1999.0,1872.7,2110.0,2431.2,2718.8,3108.6,3274.0,3882.4,4246.8,4628.9,5585.0,6011.4,6444.0,6190.7,7983.5,7603.8,7477.9,8052.8,8251.0,9403.9,9399.7
6,"Geothermal, solar, etc.","1,000 toe",10.2,11.7,13.2,15.0,17.7,22.7,32.7,46.5,45.3,44.7,47.2,41.9,40.4,41.5,51.8,73.4,106.7,136.6,198.6,343.0,498.5,602.2,621.8,810.9,1050.9,1444.0,1814.1,2040.0,3024.3,3940.1,5146.1,6320.3,7657.4,8199.7,8473.3
7,Heat,"1,000 toe",3.3,2.7,2.3,2.7,2.9,3.3,2.8,2.5,8.7,7.2,9.8,12.7,13.5,20.2,19.3,11.6,16.7,13.9,37.8,48.5,15.8,135.3,123.7,113.2,68.0,125.2,117.3,130.0,68.3,66.3,73.1,67.6,69.3,34.8,70.7
