By Energy Sources,Item,UNIT,2015. 01 Month,2015. 02 Month,2015. 03 Month,2015. 04 Month,2015. 05 Month,2015. 06 Month,2015. 07 Month,2015. 08 Month,2015. 09 Month,2015. 10 Month,2015. 11 Month,2015. 12 Month,2016. 01 Month,2016. 02 Month,2016. 03 Month,2016. 04 Month,2016. 05 Month,2016. 06 Month,2016. 07 Month,2016. 08 Month,2016. 09 Month,2016. 10 Month,2016. 11 Month,2016. 12 Month,2017. 01 Month,2017. 02 Month,2017. 03 Month,2017. 04 Month,2017. 05 Month,2017. 06 Month,2017. 07 Month,2017. 08 Month,2017. 09 Month,2017. 10 Month,2017. 11 Month,2017. 12 Month,2018. 01 Month,2018. 02 Month,2018. 03 Month,2018. 04 Month,2018. 05 Month,2018. 06 Month,2018. 07 Month,2018. 08 Month,2018. 09 Month,2018. 10 Month,2018. 11 Month,2018. 12 Month,2019. 01 Month,2019. 02 Month,2019. 03 Month,2019. 04 Month,2019. 05 Month,2019. 06 Month,2019. 07 Month,2019. 08 Month,2019. 09 Month,2019. 10 Month,2019. 11 Month,2019. 12 Month,2020. 01 Month,2020. 02 Month,2020. 03 Month,2020. 04 Month,2020. 05 Month,2020. 06 Month,2020. 07 Month,2020. 08 Month,2020. 09 Month,2020. 10 Month,2020. 11 Month,2020. 12 Month,2021. 01 Month,2021. 02 Month,2021. 03 Month,2021. 04 Month,2021. 05 Month,2021. 06 Month,2021. 07 Month,2021. 08 Month,2021. 09 Month,2021. 10 Month,2021. 11 Month,2021. 12 Month,2022. 01 Month,2022. 02 Month,2022. 03 Month,2022. 04 Month,2022. 05 Month,2022. 06 Month,2022. 07 Month,2022. 08 Month,2022. 09 Month,2022. 10 Month,2022. 11 Month,2022. 12 Month,2023. 01 Month,2023. 02 Month,2023. 03 Month,2023. 04 Month,2023. 05 Month,2023. 06 Month,2023. 07 Month,2023. 08 Month,2023. 09 Month,2023. 10 Month,2023. 11 Month,2023. 12 Month,2024. 01 Month,2024. 02 Month,2024. 03 Month,2024. 04 Month,2024. 05 Month,2024. 06 Month,2024. 07 Month,2024. 08 Month,2024. 09 Month,2024. 10 Month,2024. 11 Month,2024. 12 Month,2025. 01 Month,2025. 02 Month,2025. 03 Month,2025. 04 Month,2025. 05 Month,2025. 06 Month,2025. 07 Month
Hydro,"1,000 toe ",,43.14,39.309,41.828,49.669,60.311,46.608,43.928,33.614,29.4,27.989,19.777,18.08,26.013,18.455,32.205,47.948,73.885,61.599,128.78,59.478,47.597,37.239,34.593,35.398,36.749,33.338,36.953,42.053,51.048,43.507,70.052,114.019,54.287,43.626,36.792,38.212,38.637,36.475,35.049,46.922,101.42,88.021,88.073,58.064,72.553,47.332,49.822,56.373,43.456,36.719,37.59,52.272,60.122,55.018,55.481,61.126,56.687,54.44,39.285,42.302,48.097,44.458,49.388,45.59,58.757,61.337,80,171.061,134.137,49.208,43.083,41.193,41.16,36.281,43.368,50.468,71.149,83.379,78.499,61.442,63.437,45.807,37.754,38.442,40.499,35.731,44.742,44.021,52.201,59.564,85.062,148.209,103.926,53.802,45.22,42.079,43.556,35.891,39.039,41.112,63.444,67.825,145.27,90.39,97.078,60.747,48.595,59.396,46.748,52.843,60.852,122.862,110.866,100.611,135.845,84.134,63.826,50.062,42.9,45.3,47.447,40.7,42.7,52.5,92.1,93.6,62.5
"Geothermal, solar, etc.","1,000 toe ",,121.993,107.91,125.918,118.157,116.102,109.913,119.732,121.86,122.434,130.627,116.261,133.066,152.782,151.193,157.996,158.006,145.74,127.161,142.07,160.383,140.049,151.086,155.649,171.97,203.962,186.197,210.693,206.464,200.789,187.756,186.774,207.287,208.02,195.293,205.181,228.047,268.269,240.782,259.439,260.389,226.825,233.575,243.363,253.92,251.62,260.539,255.23,270.315,334.726,299.329,354.153,319.421,357.212,323.904,334.341,364.619,300.808,325.495,301.069,324.975,382.487,413.676,488.39,500.201,404.391,379.497,349.253,424.789,425.749,450.978,436.904,489.788,491.945,515.154,576.018,593.292,558.29,500.526,525.73,509.669,496.747,505.221,485.808,561.865,634.105,645.073,645.217,687.859,747.828,610.405,632.088,627.118,623.458,646.308,561.346,596.547,585.561,559.35,628.352,786.423,716.52,692.549,626.689,777.514,645.459,656.064,706.903,578.463,606.221,466.512,667.567,843.904,836.208,789.078,721.608,925.035,679.842,570.289,692.8,674.3,675.411,769.8,856.6,995.3,901.8,914.9,969.4
